Day,Portfolio_Value
0,100000.00
1,100000.00
2,100000.00
3,100000.00
4,100000.00
5,100000.00
6,100000.00
7,100000.00
8,100000.00
9,100000.00
10,100000.00
11,100000.00
12,100000.00
13,100000.00
14,100000.00
15,100000.00
16,100000.00
17,100000.00
18,100000.00
19,100000.00
20,100000.00
21,100000.00
22,100000.00
23,100000.00
24,100000.00
25,100000.00
26,100000.00
27,100000.00
28,100000.00
29,100000.00
30,100000.00
31,100000.00
32,100000.00
33,100000.00
34,100000.00
35,100000.00
36,100000.00
37,100000.00
38,100000.00
39,100000.00
40,100000.00
41,100000.00
42,100000.00
43,100000.00
44,100000.00
45,100000.00
46,100000.00
47,100000.00
48,100000.00
49,100000.00
50,100000.00
51,100000.00
52,100000.00
53,100000.00
54,100000.00
55,100000.00
56,100000.00
57,100000.00
58,100000.00
59,100000.00
60,100000.00
61,100000.00
62,100000.00
63,100000.00
64,100000.00
65,100000.00
66,100000.00
67,100000.00
68,100000.00
69,100000.00
70,100000.00
71,100000.00
72,100000.00
73,100000.00
74,100000.00
75,100000.00
76,100000.00
77,100000.00
78,100000.00
79,100000.00
80,100000.00
81,100000.00
82,100000.00
83,100000.00
84,100000.00
85,100000.00
86,100000.00
87,100000.00
88,100000.00
89,100000.00
90,100000.00
91,100000.00
92,100000.00
93,100000.00
94,100000.00
95,100000.00
96,100000.00
97,100000.00
98,100000.00
99,100000.00
100,100000.00
101,100000.00
102,100000.00
103,100000.00
104,100000.00
105,100000.00
106,100000.00
107,100000.00
108,100000.00
109,100000.00
110,100000.00
111,100000.00
112,100000.00
113,100000.00
114,100000.00
115,100000.00
116,100000.00
117,100000.00
118,100000.00
119,98812.25
120,101725.96
121,97931.70
122,99839.99
123,100353.62
124,107967.49
125,108654.97
126,102601.82
127,104806.04
128,108642.06
129,106381.04
130,111375.72
131,109620.25
132,112834.25
133,109642.27
134,109649.04
135,106945.81
136,100023.69
137,89461.27
138,89946.30
139,88515.27
140,92278.11
141,95688.11
142,99246.14
143,104325.52
144,98984.53
145,98474.67
146,97120.82
147,95899.08
148,93253.74
149,102631.88
150,107381.60
151,108671.06
152,111796.18
153,105348.04
154,104291.94
155,113445.72
156,104701.12
157,111569.02
158,109068.13
159,112992.48
160,115892.47
161,117625.38
162,122750.50
163,131291.61
164,136265.69
165,129966.89
166,127291.27
167,129422.85
168,123866.93
169,119408.47
170,114525.01
171,120384.33
172,121321.23
173,119073.52
174,123130.33
175,117173.33
176,122449.71
177,128053.66
178,128305.82
179,144759.05
180,150753.76
181,145810.09
182,140164.75
183,143572.16
184,145821.31
185,148714.42
186,154959.28
187,152385.26
188,149424.57
189,145459.17
190,145513.36
191,141228.38
192,148244.96
193,153936.75
194,153571.05
195,160672.62
196,154840.09
197,147367.53
198,144177.32
199,139075.81
200,140988.84
201,153885.59
202,160236.83
203,164434.50
204,173169.52
205,185233.46
206,175746.81
207,183866.75
208,186940.83
209,195539.63
210,202613.24
211,192983.02
212,189048.14
213,179615.19
214,170012.97
215,170676.11
216,178189.87
217,166918.11
218,160323.99
219,154459.05
220,140226.47
221,147935.76
222,160697.22
223,166770.10
224,158610.29
225,170309.95
226,173877.42
227,177179.88
228,190456.26
229,190280.61
230,188547.71
231,191164.97
232,183283.82
233,184898.05
234,182897.80
235,179597.80
236,170215.15
237,179513.55
238,178678.44
239,185282.42
240,180888.71
241,195200.51
242,205312.76
243,204266.84
244,192390.00
245,196324.17
246,198476.66
247,189515.76
248,176056.16
249,174400.13
250,193212.04
251,195935.53
252,195935.53
